title,rating,source,price,in_stock_count
A Light in the Attic,3,books.toscrape.com,51.77,22
Tipping the Velvet,1,books.toscrape.com,53.74,20
Soumission,1,books.toscrape.com,50.1,20
Sharp Objects,4,books.toscrape.com,47.82,20
Sapiens: A Brief History of Humankind,5,books.toscrape.com,54.23,20
The Requiem Red,1,books.toscrape.com,22.65,19
The Dirty Little Secrets of Getting Your Dream Job,4,books.toscrape.com,33.34,19
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",3,books.toscrape.com,17.93,19
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,4,books.toscrape.com,22.6,19
The Black Maria,1,books.toscrape.com,52.15,19
"Starving Hearts (Triangular Trade Trilogy, #1)",2,books.toscrape.com,13.99,19
Shakespeare's Sonnets,4,books.toscrape.com,20.66,19
Set Me Free,5,books.toscrape.com,17.46,19
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),5,books.toscrape.com,52.29,19
Rip it Up and Start Again,5,books.toscrape.com,35.02,19
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",3,books.toscrape.com,57.25,19
Olio,1,books.toscrape.com,23.88,19
Mesaerion: The Best Science Fiction Stories 1800-1849,1,books.toscrape.com,37.59,19
Libertarianism for Beginners,2,books.toscrape.com,51.33,19
It's Only the Himalayas,2,books.toscrape.com,45.17,19
