text,author,tags,source
The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.,Albert Einstein,"change, deep-thoughts, thinking, world",quotes.toscrape.com/js
"It is our choices, Harry, that show what we truly are, far more than our abilities.",J.K. Rowling,"abilities, choices",quotes.toscrape.com/js
There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.,Albert Einstein,"inspirational, life, live, miracle, miracles",quotes.toscrape.com/js
"The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.",Jane Austen,"aliteracy, books, classic, humor",quotes.toscrape.com/js
"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.",Marilyn Monroe,"be-yourself, inspirational",quotes.toscrape.com/js
"Try not to become a man of success, but rather try to become a man of value.",Albert Einstein,"adulthood, success, value",quotes.toscrape.com/js
It is better to be hated for what you are than to be loved for what you are not.,André Gide,"life, love",quotes.toscrape.com/js
"I have not failed. I've just found 10,000 ways that won't work.",Thomas A. Edison,"edison, failure, inspirational, paraphrased",quotes.toscrape.com/js
A woman is like a tea bag; you never know how strong it is until it's in hot water.,Eleanor Roosevelt,misattributed-eleanor-roosevelt,quotes.toscrape.com/js
"A day without sunshine is like, you know, night.",Steve Martin,"humor, obvious, simile",quotes.toscrape.com/js
